# NEUROPLAST-ANN - Test Exhaustif XOR Médical Simulé
# Dataset: Médical simulé (0 échantillons, 8 features)
# Architecture: Input(8)→256→128→Output(1)
# Total combinaisons: 567
# Essais par combinaison: 5
# Époques max: 50
# Features médicales: Age, Cholestérol, Tension, BMI, Exercice, Tabac, Antécédents, Stress
# Modèle de risque: Interactions complexes + bruit réaliste
# Toutes les métriques: Accuracy, Precision, Recall, F1-Score, AUC-ROC
#
Rang,Methode,Optimiseur,Activation,Combinaison_Complete,Avg_Accuracy_Pct,Avg_Precision_Pct,Avg_Recall_Pct,Avg_F1_Score_Pct,Avg_AUC_ROC_Pct,Best_Accuracy_Pct,Best_Precision_Pct,Best_Recall_Pct,Best_F1_Score_Pct,Best_AUC_ROC_Pct,Convergence_Count,Total_Trials,Taux_Convergence_Pct
50,standard,adabelief,sigmoid,standard+adabelief+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
51,standard,adabelief,elu,standard+adabelief+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
52,standard,adabelief,mish,standard+adabelief+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
53,standard,adabelief,swish,standard+adabelief+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
54,standard,adabelief,prelu,standard+adabelief+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
55,standard,radam,neuroplast,standard+radam+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
56,standard,radam,relu,standard+radam+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
57,standard,radam,leaky_relu,standard+radam+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
58,standard,radam,gelu,standard+radam+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
59,standard,radam,sigmoid,standard+radam+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
60,standard,radam,elu,standard+radam+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
61,standard,radam,mish,standard+radam+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
